1,Circe,Madeline Miller,2018,Fantasia,15,10,25,Disponible
2,El infinito en un junco,Maria Duenas,2019,Narrativa contemporanea,12,8,19,Disponible
3,La chica del tren,Paula Hawkins,2015,Thriller psicologico,20,15,22,Disponible
4,La sombra del viento,Carlos Ruiz Zafon,2001,Novela historica,18,12,21,Disponible
5,Las chicas del cable,Carmen de Icaza,2019,Romance historico,10,5,18,Disponible
6,El tiempo entre costuras,Maria Duenas,2013,Novela historica,9,4,23,Disponible
7,El odio que das,Angie Thomas,2017,Young adult,14,9,16,Disponible
8,Normal People,Sally Rooney,2018,Romance contemporaneo,11,6,20,Disponible
9,Una historia de la literatura en 10 libros,Julio Cesar Perez,2020,Ensayo,13,7,15,Disponible
10,El susurro de la ola del mar,Maria Oruna,2021,Thriller,16,10,17,Disponible
11,El lector,Bernhard Schlink,1995,Novela contemporanea,12,8,19,Disponible
12,Las hijas del capitan,Maria Duenas,2018,Novela historica,15,10,25,Disponible
13,Los hombres que no amaban a las mujeres,Stieg Larsson,2005,Thriller,20,15,22,Disponible
14,Cien anos de soledad,Gabriel Garcia Marquez,1967,Realismo magico,18,12,21,Disponible
15,El nombre del viento,Patrick Rothfuss,2007,Fantasia,14,9,23,Disponible
16,Orgullo y prejuicio,Jane Austen,1813,Romance clasico,10,6,18,Disponible
17,La casa de los espiritus,Isabel Allende,1982,Realismo magico,17,12,22,Disponible
18,La ladrona de libros,Markus Zusak,2005,Ficcion historica,15,10,20,Disponible
19,Los secretos que guardamos,Lara Prescott,2019,Thriller historico,14,9,21,Disponible
20,Reina roja,Juan Gomez-Jurado,2018,Thriller,16,10,19,Disponible
21,El paciente,Juan Gomez-Jurado,2014,Thriller,18,11,22,Disponible
22,1984,George Orwell,1949,Distopia,20,13,18,Disponible
23,El gran Gatsby,F. Scott Fitzgerald,1925,Novela clasica,12,7,15,Disponible
24,El cuento de la criada,Margaret Atwood,1985,Distopia,16,10,24,Disponible
25,Sapiens,Yuval Noah Harari,2011,Ensayo,14,8,29,Disponible
26,Homo Deus,Yuval Noah Harari,2016,Ensayo,12,7,28,Disponible
27,La mujer en la ventana,A.J. Finn,2018,Thriller psicologico,11,6,19,Disponible
28,El marciano,Andy Weir,2014,Ciencia ficcion,13,8,21,Disponible
29,Los juegos del hambre,Suzanne Collins,2008,Distopia juvenil,17,10,19,Disponible
30,Don Quijote de la Mancha,Miguel de Cervantes,1605,Novela clasica,15,9,25,Disponible
