1,Circe,Madeline Miller,2018,Fantasia,30,20,20
2,El infinito en un junco,Maria Duenas,2019,Narrativa contemporanea,19,19,18
3,La chica del tren,Paula Hawkins,2015,Thriller psicologico,50,20,20
4,Las chicas del cable,Carmen de Icaza,2019,Romance historico,18,20,18
5,El tiempo entre costuras,Maria Duenas,2013,Novela historica,23,20,20
6,El odio que das,Angie Thomas,2017,Young adult,16,20,20
7,Normal People,Sally Rooney,2018,Romance contemporaneo,20,20,19
8,Una historia de la literatura,Julio Cesar Perez,2020,Ensayo,15,20,20
9,El susurro de la ola del mar,Maria Oruna,2021,Thriller,17,18,18
10,El lector,Bernhard Schlink,1995,Novela contemporanea,19,20,19
11,Las hijas del capitan,Maria Duenas,2018,Novela historica,25,20,20
12,Los hombres que no amaban a las mujeres,Stieg Larsson,2005,Thriller,22,20,19
13,Cien anos de soledad,Gabriel Garcia Marquez,1967,Realismo magico,21,19,19
14,Harry Potter y la cámara secreta,J.K. Rowling,1998,Fantasia,20,20,20
15,El nombre del viento,Patrick Rothfuss,2007,Fantasia,23,19,19
16,Orgullo y prejuicio,Jane Austen,1813,Romance clasico,18,20,20
17,Harry Potter y la piedra filosofal,J.K. Rowling,1997,Fantasia,20,20,19
18,Tokio Blues,Haruki Murakami,1987,Narrativa contemporanea,25,19,19
19,La noche de la usina,Eduardo Sacheri,2016,Narrativa contemporanea,21,20,20
20,El viento conoce mi nombre,Isabel Allende,2023,Drama historico,22,20,20
21,El retrato de casada,Maggie O'Farrell,2022,Novela historica,20,20,18
22,Los siete maridos de Evelyn Hugo,Taylor Jenkins Reid,2017,Romance contemporaneo,23,20,19
23,Project Hail Mary,Andy Weir,2021,Ciencia ficcion,26,20,17
24,El ultimo vuelo,Julie Clark,2020,Thriller psicologico,22,19,18
25,La biblioteca de medianoche,Matt Haig,2020,Fantasia,21,20,20
26,Bajo la misma estrella,John Green,2012,Young adult,18,20,20
27,La cancion de Aquiles,Madeline Miller,2011,Fantasia,20,20,19
28,Los huespedes,Beth O'Leary,2021,Romance contemporaneo,18,20,20
29,El caso Alaska Sanders,Joel Dicker,2022,Thriller,24,19,17
30,La vida invisible de Addie LaRue,V.E. Schwab,2020,Fantasia,23,20,20
31,El visitante,Stephen King,2018,Terror,22,20,20
32,El circulo,Dave Eggers,2013,Distopia,19,19,19
33,El dia que se perdio la cordura,Javier Castillo,2017,Suspenso,21,19,19
34,El dia que se perdio el amor,Javier Castillo,2018,Suspenso,21,20,19
35,Tentacion,Lucinda Riley,2020,Drama historico,20,19,19
36,La ciudad de vapor,Carlos Ruiz Zafon,2020,Misterio,22,20,20
37,En el corazon del bosque,Emily Henry,2023,Romance contemporaneo,19,19,18
38,Un cuento perfecto,Elisabet Benavent,2020,Romance contemporaneo,21,20,20
39,En las montanas de la locura,H.P. Lovecraft,1936,Terror,20,35,35
40,La llamada de Cthulhu,H.P. Lovecraft,1928,Terror,19,35,34
41,El color que cayo del cielo,H.P. Lovecraft,1927,Terror,18,35,34
42,La sombra sobre Innsmouth,H.P. Lovecraft,1936,Terror,21,35,35
43,Los sueños en la casa de la bruja,H.P. Lovecraft,1933,Terror,20,33,32
44,El horror de Dunwich,H.P. Lovecraft,1929,Terror,22,35,35
45,El cazador de sueños,Neil Gaiman,2022,Fantasia,21,20,20
46,La paradoja de Andromeda,Christopher Paolini,2023,Ciencia ficcion,25,20,20
47,El legado de las sombras,Victoria Alvarez,2023,Novela historica,22,20,19
48,Todo lo perdido y encontrado,Cecilia Ahern,2021,Narrativa contemporanea,19,20,19
49,Casas vacias,Brenda Navarro,2020,Drama,20,20,20
50,Cadena perpetua,Stephen King,2023,Terror,23,20,19
